trial_code,phase,condition,sample_size,primary_endpoint_met,serious_ae_pct,fictional_data
TR001,III,Cancer,277,Yes,10.3,True
TR002,I,Diabetes,323,Pending,7.9,True
TR003,III,Cancer,936,Pending,3.6,True
TR004,I,Cancer,741,Yes,1.8,True
TR005,IV,Cancer,596,No,8.4,True
TR006,IV,Cancer,381,Yes,2.0,True
TR007,I,Diabetes,252,No,11.0,True
TR008,IV,Hypertension,937,Yes,7.5,True
TR009,III,Hypertension,99,Pending,10.6,True
TR010,II,Cancer,1039,Yes,10.7,True
TR011,IV,Diabetes,169,No,8.0,True
TR012,I,Hypertension,1114,Pending,7.1,True
TR013,II,Hypertension,732,Pending,6.5,True
TR014,I,Cancer,549,No,4.5,True
TR015,IV,Diabetes,1183,Pending,1.1,True
TR016,II,Hypertension,1001,No,10.5,True
TR017,I,Cancer,696,Yes,4.3,True
TR018,III,Diabetes,1078,Yes,6.8,True
TR019,IV,Cancer,521,Yes,5.8,True
TR020,IV,Diabetes,1060,No,4.1,True
TR021,IV,Hypertension,76,Yes,5.1,True
TR022,I,Hypertension,1164,Yes,10.0,True
TR023,III,Hypertension,1191,Yes,8.0,True
TR024,IV,Cancer,784,Yes,9.9,True
TR025,IV,Cancer,1187,Pending,7.4,True
TR026,III,Hypertension,966,Yes,1.6,True
TR027,II,Diabetes,739,No,10.0,True
TR028,III,Hypertension,1109,No,8.6,True
TR029,I,Diabetes,1048,Yes,10.0,True
TR030,IV,Diabetes,560,Pending,2.8,True
TR031,I,Cancer,481,No,10.0,True
TR032,II,Hypertension,732,Yes,9.2,True
TR033,I,Hypertension,292,No,5.8,True
TR034,II,Cancer,48,Pending,9.0,True
TR035,IV,Hypertension,1029,Pending,9.5,True
TR036,II,Hypertension,395,Pending,9.9,True
TR037,I,Cancer,699,Pending,10.6,True
TR038,IV,Hypertension,548,No,5.1,True
TR039,III,Cancer,967,Yes,2.1,True
TR040,III,Hypertension,1161,No,8.7,True
TR041,II,Diabetes,469,Pending,8.7,True
TR042,III,Hypertension,311,Pending,8.0,True
TR043,II,Hypertension,1151,Pending,7.8,True
TR044,I,Cancer,1191,No,7.2,True
TR045,IV,Hypertension,1133,No,10.6,True
TR046,IV,Diabetes,1110,Yes,0.8,True
TR047,II,Diabetes,155,Yes,3.6,True
TR048,II,Cancer,553,Yes,10.2,True
TR049,III,Diabetes,1148,Yes,4.6,True
TR050,IV,Diabetes,1190,Yes,9.0,True
TR051,IV,Diabetes,1086,Pending,3.8,True
TR052,I,Cancer,833,No,11.5,True
TR053,III,Hypertension,150,Yes,9.1,True
TR054,II,Hypertension,947,Yes,11.0,True
TR055,III,Hypertension,1159,Pending,7.4,True
TR056,II,Cancer,959,Yes,11.8,True
TR057,I,Diabetes,395,Pending,6.4,True
TR058,IV,Diabetes,917,No,6.9,True
TR059,II,Diabetes,562,Yes,4.3,True
TR060,II,Diabetes,354,No,7.4,True
