learner_id,role,pre_score,post_score,confidence_pre,confidence_post,fictional_data
ED001,Medical affairs,38,76,1,4,True
ED002,Medical affairs,70,91,3,5,True
ED003,Pharmacist,56,85,2,4,True
ED004,Pharmacist,63,84,5,2,True
ED005,Pharmacist,27,71,1,5,True
ED006,Medical affairs,70,69,2,4,True
ED007,Pharmacist,42,88,5,2,True
ED008,Medical affairs,36,70,3,2,True
ED009,Pharmacist,63,76,1,3,True
ED010,Pharmacist,40,77,2,4,True
ED011,Doctor,67,98,2,5,True
ED012,Medical affairs,32,70,2,4,True
ED013,Doctor,34,67,2,4,True
ED014,Doctor,69,61,1,2,True
ED015,Medical affairs,62,86,5,2,True
ED016,Medical affairs,22,85,3,4,True
ED017,Pharmacist,56,72,4,3,True
ED018,Medical affairs,37,80,2,3,True
ED019,Doctor,53,82,4,2,True
ED020,Medical affairs,42,80,2,5,True
ED021,Doctor,64,88,4,4,True
ED022,Medical affairs,20,55,2,5,True
ED023,Medical affairs,26,75,3,4,True
ED024,Doctor,55,71,2,4,True
ED025,Pharmacist,59,76,3,3,True
ED026,Pharmacist,47,68,4,4,True
ED027,Pharmacist,45,72,4,3,True
ED028,Medical affairs,28,91,2,2,True
ED029,Medical affairs,37,70,5,5,True
ED030,Pharmacist,32,64,2,5,True
ED031,Doctor,31,81,4,3,True
ED032,Medical affairs,53,89,3,5,True
ED033,Pharmacist,36,90,5,2,True
ED034,Pharmacist,26,99,2,2,True
ED035,Doctor,36,85,1,5,True
ED036,Medical affairs,41,71,3,4,True
ED037,Medical affairs,55,71,3,2,True
ED038,Pharmacist,27,77,5,3,True
ED039,Medical affairs,56,96,5,3,True
ED040,Pharmacist,42,75,5,5,True
ED041,Medical affairs,48,60,4,4,True
ED042,Pharmacist,60,64,2,4,True
ED043,Pharmacist,60,94,5,5,True
ED044,Doctor,25,65,3,3,True
ED045,Pharmacist,40,96,3,4,True
ED046,Medical affairs,61,80,3,5,True
ED047,Pharmacist,67,92,5,5,True
ED048,Pharmacist,30,66,1,3,True
ED049,Medical affairs,35,97,3,2,True
ED050,Doctor,30,80,1,2,True
ED051,Doctor,50,90,1,2,True
ED052,Pharmacist,53,60,1,4,True
ED053,Medical affairs,29,60,4,4,True
ED054,Doctor,35,73,4,3,True
ED055,Doctor,53,65,1,2,True
ED056,Medical affairs,42,75,4,5,True
ED057,Medical affairs,37,90,4,3,True
ED058,Medical affairs,54,66,5,5,True
ED059,Medical affairs,67,95,5,5,True
ED060,Medical affairs,60,95,5,4,True
ED061,Pharmacist,50,89,2,2,True
ED062,Pharmacist,39,78,4,4,True
ED063,Doctor,39,55,1,3,True
ED064,Pharmacist,38,85,5,2,True
ED065,Medical affairs,51,85,3,2,True
ED066,Pharmacist,38,93,2,2,True
ED067,Medical affairs,43,67,4,5,True
ED068,Pharmacist,35,65,4,5,True
ED069,Doctor,36,60,4,3,True
ED070,Medical affairs,68,94,3,4,True
ED071,Medical affairs,67,89,3,5,True
ED072,Doctor,24,66,2,4,True
ED073,Doctor,60,84,5,5,True
ED074,Pharmacist,64,94,4,3,True
ED075,Pharmacist,21,64,1,2,True
ED076,Doctor,26,73,3,3,True
ED077,Medical affairs,48,55,2,2,True
ED078,Doctor,20,86,2,4,True
ED079,Pharmacist,39,86,3,5,True
ED080,Medical affairs,70,57,3,2,True
