engagement_id,channel,stakeholder,duration_min,followup_required,value_score,fictional_data
ME001,Congress,KOL,29,0,3,True
ME002,Virtual,KOL,21,1,5,True
ME003,In-person,HCP,22,0,2,True
ME004,Virtual,Payer,47,0,4,True
ME005,Virtual,KOL,60,1,4,True
ME006,Congress,KOL,21,1,2,True
ME007,In-person,KOL,57,0,4,True
ME008,Virtual,KOL,66,1,3,True
ME009,Virtual,KOL,82,0,2,True
ME010,Congress,Payer,22,0,3,True
ME011,Congress,KOL,85,0,5,True
ME012,Virtual,KOL,76,1,5,True
ME013,Congress,KOL,83,0,4,True
ME014,In-person,HCP,60,0,5,True
ME015,Congress,Payer,83,0,1,True
ME016,In-person,HCP,31,0,2,True
ME017,Virtual,HCP,64,0,4,True
ME018,Virtual,Payer,28,1,3,True
ME019,Congress,HCP,21,1,5,True
ME020,In-person,Payer,51,1,5,True
ME021,In-person,HCP,89,1,1,True
ME022,In-person,HCP,28,0,1,True
ME023,Congress,HCP,46,1,4,True
ME024,In-person,KOL,72,1,1,True
ME025,Virtual,KOL,61,0,5,True
ME026,Congress,Payer,61,0,4,True
ME027,In-person,Payer,40,0,4,True
ME028,In-person,KOL,12,1,3,True
ME029,In-person,KOL,72,0,2,True
ME030,Virtual,KOL,66,1,3,True
ME031,Congress,KOL,87,0,2,True
ME032,In-person,HCP,62,1,5,True
ME033,In-person,HCP,75,0,1,True
ME034,In-person,Payer,74,1,2,True
ME035,Congress,Payer,13,0,2,True
ME036,Virtual,HCP,41,0,4,True
ME037,Virtual,KOL,35,1,3,True
ME038,In-person,Payer,60,0,1,True
ME039,Virtual,KOL,72,1,2,True
ME040,In-person,Payer,80,1,3,True
ME041,Virtual,KOL,21,1,1,True
ME042,In-person,HCP,30,0,2,True
ME043,Congress,HCP,36,1,4,True
ME044,Congress,HCP,11,1,2,True
ME045,Congress,HCP,86,0,2,True
ME046,In-person,Payer,49,1,4,True
ME047,In-person,KOL,68,1,2,True
ME048,In-person,KOL,76,1,5,True
ME049,Virtual,HCP,75,1,5,True
ME050,Congress,Payer,87,1,3,True
ME051,Congress,HCP,71,0,3,True
ME052,In-person,Payer,51,1,3,True
ME053,Congress,Payer,48,0,2,True
ME054,Congress,HCP,17,1,3,True
ME055,Congress,HCP,13,1,3,True
ME056,In-person,KOL,61,1,1,True
ME057,Congress,Payer,83,0,3,True
ME058,Congress,Payer,38,1,3,True
ME059,Congress,KOL,31,0,3,True
ME060,Virtual,KOL,26,1,5,True
ME061,Virtual,Payer,52,0,2,True
ME062,In-person,HCP,49,1,3,True
ME063,In-person,KOL,84,1,4,True
ME064,Virtual,KOL,16,0,4,True
ME065,Virtual,Payer,25,1,5,True
ME066,In-person,KOL,16,0,2,True
ME067,Virtual,KOL,62,1,2,True
ME068,In-person,Payer,33,0,4,True
ME069,In-person,Payer,32,1,1,True
ME070,Virtual,KOL,45,0,2,True
ME071,Congress,HCP,72,0,2,True
ME072,Congress,KOL,64,1,4,True
ME073,In-person,KOL,10,0,5,True
ME074,Virtual,Payer,57,0,3,True
ME075,Congress,HCP,12,0,2,True
ME076,Virtual,Payer,54,1,2,True
ME077,Virtual,KOL,74,1,2,True
ME078,Virtual,HCP,48,1,4,True
ME079,Congress,Payer,86,1,4,True
ME080,Congress,HCP,53,1,3,True
ME081,Virtual,HCP,61,0,2,True
ME082,Virtual,Payer,26,0,1,True
ME083,Congress,Payer,31,0,3,True
ME084,Congress,Payer,14,1,3,True
ME085,Congress,Payer,16,0,1,True
ME086,Congress,HCP,16,0,4,True
ME087,In-person,KOL,25,1,4,True
ME088,Congress,HCP,36,0,3,True
ME089,In-person,Payer,22,1,5,True
ME090,Congress,Payer,27,1,1,True
ME091,Congress,Payer,89,0,3,True
ME092,Virtual,HCP,73,0,5,True
ME093,Virtual,KOL,76,0,3,True
ME094,Congress,KOL,47,0,1,True
ME095,Congress,KOL,36,1,3,True
ME096,Virtual,HCP,11,0,1,True
ME097,Congress,Payer,73,0,1,True
ME098,Congress,HCP,22,1,2,True
ME099,In-person,KOL,43,1,1,True
ME100,Virtual,HCP,15,1,3,True
