respondent_id,age_group,department,wait_minutes,clarity_score,empathy_score,overall_score,fictional_data
PX001,60+,OPD,8,3,2,4,True
PX002,18-39,OPD,74,1,5,7,True
PX003,18-39,OPD,16,2,2,9,True
PX004,60+,OPD,76,2,5,7,True
PX005,18-39,Pharmacy,80,3,1,3,True
PX006,60+,Pharmacy,48,3,2,4,True
PX007,40-59,OPD,16,4,1,6,True
PX008,40-59,Oncology,10,4,5,2,True
PX009,40-59,OPD,75,3,5,6,True
PX010,60+,Cardiology,13,1,2,5,True
PX011,18-39,Cardiology,17,4,3,8,True
PX012,60+,Oncology,25,3,3,4,True
PX013,60+,Oncology,87,1,5,3,True
PX014,60+,Cardiology,25,4,4,5,True
PX015,60+,Cardiology,46,1,2,1,True
PX016,40-59,Pharmacy,39,1,2,10,True
PX017,60+,Oncology,32,4,4,8,True
PX018,18-39,Oncology,22,2,5,9,True
PX019,40-59,Pharmacy,79,4,3,4,True
PX020,18-39,Pharmacy,16,1,1,3,True
PX021,60+,Cardiology,59,5,1,7,True
PX022,40-59,Pharmacy,72,3,5,1,True
PX023,60+,OPD,73,3,3,2,True
PX024,40-59,Pharmacy,25,4,1,5,True
PX025,60+,Cardiology,69,1,3,9,True
PX026,60+,Cardiology,24,3,2,9,True
PX027,60+,OPD,81,3,4,1,True
PX028,18-39,Oncology,44,2,1,4,True
PX029,60+,OPD,15,4,1,9,True
PX030,18-39,Cardiology,89,4,5,3,True
PX031,40-59,Pharmacy,32,5,2,5,True
PX032,40-59,Oncology,61,5,4,2,True
PX033,18-39,Cardiology,13,3,1,10,True
PX034,60+,Cardiology,80,2,1,2,True
PX035,60+,OPD,34,1,1,6,True
PX036,18-39,Cardiology,40,4,2,9,True
PX037,18-39,Pharmacy,36,4,4,4,True
PX038,18-39,OPD,89,4,3,7,True
PX039,40-59,Pharmacy,11,1,1,7,True
PX040,60+,Oncology,18,2,2,4,True
PX041,60+,Pharmacy,22,4,2,5,True
PX042,40-59,Cardiology,14,4,5,2,True
PX043,18-39,OPD,16,2,2,7,True
PX044,40-59,Pharmacy,32,4,1,3,True
PX045,40-59,OPD,54,3,4,5,True
PX046,40-59,Pharmacy,24,2,3,4,True
PX047,18-39,OPD,45,1,1,10,True
PX048,40-59,Cardiology,12,5,1,3,True
PX049,18-39,OPD,35,4,1,10,True
PX050,18-39,OPD,84,1,4,10,True
PX051,60+,Oncology,38,2,3,4,True
