record_id,database,year,title_relevant,abstract_relevant,full_text_available,include,fictional_data
RS001,Scopus,2023,1,0,1,0,True
RS002,Scopus,2021,0,1,0,0,True
RS003,Scopus,2026,1,0,1,1,True
RS004,Web of Science,2020,0,0,1,0,True
RS005,Scopus,2021,0,0,0,1,True
RS006,Scopus,2026,1,1,1,0,True
RS007,Web of Science,2021,1,1,0,1,True
RS008,Scopus,2019,1,1,1,1,True
RS009,Scopus,2023,0,1,1,1,True
RS010,Web of Science,2022,0,1,0,1,True
RS011,Web of Science,2020,1,1,0,0,True
RS012,Scopus,2022,1,1,1,0,True
RS013,Web of Science,2025,1,1,0,1,True
RS014,Web of Science,2024,1,0,0,1,True
RS015,Scopus,2026,0,0,0,1,True
RS016,PubMed,2020,0,0,1,1,True
RS017,Scopus,2018,0,1,1,1,True
RS018,Scopus,2019,0,1,1,1,True
RS019,Web of Science,2022,0,0,0,0,True
RS020,Scopus,2026,1,0,1,1,True
RS021,Web of Science,2025,0,1,1,0,True
RS022,PubMed,2020,0,1,0,1,True
RS023,PubMed,2023,1,0,1,1,True
RS024,PubMed,2020,1,0,0,0,True
RS025,PubMed,2021,1,0,1,1,True
RS026,Scopus,2026,0,0,0,1,True
RS027,Scopus,2025,1,1,0,0,True
RS028,Scopus,2019,1,1,1,0,True
RS029,Web of Science,2020,0,1,0,0,True
RS030,Web of Science,2020,1,0,0,1,True
RS031,Web of Science,2021,1,1,0,1,True
RS032,PubMed,2026,1,0,1,0,True
RS033,Web of Science,2020,0,0,1,0,True
RS034,PubMed,2019,0,1,0,1,True
RS035,Web of Science,2018,1,1,1,1,True
RS036,PubMed,2024,1,1,0,0,True
RS037,PubMed,2025,1,1,1,0,True
RS038,Scopus,2020,1,1,1,1,True
RS039,PubMed,2023,0,1,0,1,True
RS040,PubMed,2022,1,0,0,0,True
RS041,PubMed,2022,1,1,0,0,True
RS042,Scopus,2023,0,0,1,1,True
RS043,Scopus,2022,1,0,0,1,True
RS044,Web of Science,2025,0,0,1,0,True
RS045,PubMed,2022,1,1,1,0,True
RS046,PubMed,2024,0,1,1,1,True
RS047,Scopus,2018,1,0,0,1,True
RS048,Web of Science,2022,0,1,1,1,True
RS049,Web of Science,2019,0,0,1,1,True
RS050,Scopus,2026,1,0,0,1,True
RS051,Web of Science,2018,0,0,0,1,True
RS052,Scopus,2026,1,0,0,1,True
RS053,Web of Science,2023,0,1,1,1,True
RS054,Web of Science,2026,1,1,1,0,True
